"id","attr_time","attr_x","attr_y","attr_z"
"1","1518810921020","0.117319","0.0335198","9.80216"
"2","1518810921027","0.129291","0.0383084","9.80216"
"3","1518810921037","0.126897","0.0430969","9.80695"
"4","1518810921047","0.122108","0.052674","9.79977"
"5","1518810921064","0.124502","0.0359141","9.79977"
"6","1518810921066","0.105348","0.0167599","9.79737"
"7","1518810921081","0.110137","0.0311256","9.80216"
"8","1518810921088","0.105348","0.0478855","9.80216"
"9","1518810921098","0.095771","0.0502798","9.80216"
"10","1518810921113","0.117319","0.0407027","9.80216"
"11","1518810921117","0.105348","0.0478855","9.80216"
"12","1518810921128","0.0790111","0.0502798","9.79977"
"13","1518810921138","0.0981653","0.0622511","9.79737"
"14","1518810921147","0.107742","0.0622511","9.79737"
"15","1518810921160","0.110137","0.0646454","9.79977"
"16","1518810921167","0.134079","0.0430969","9.79977"
"17","1518810921178","0.117319","0.0646454","9.79498"
"18","1518810921187","0.119714","0.0598569","9.79737"
"19","1518810921198","0.131685","0.0646454","9.79019"
"20","1518810921209","0.112531","0.0430969","9.79977"
"21","1518810921217","0.117319","0.052674","9.79737"
"22","1518810921227","0.141262","0.052674","9.80456"
"23","1518810921238","0.148445","0.0430969","9.80216"
"24","1518810921247","0.146051","0.0478855","9.80216"
"25","1518810921261","0.122108","0.00478855","9.79258"
"26","1518810921267","0.134079","0.0215485","9.80216"
"27","1518810921278","0.119714","0.0287313","9.79977"
"28","1518810921287","0.126897","0.0239427","9.7854"
"29","1518810921297","0.105348","0.0335198","9.79737"
"30","1518810921310","0.117319","0.0119714","9.80216"
"31","1518810921318","0.0885882","0.0646454","9.79737"
"32","1518810921327","0.0909824","0.0550683","9.79977"
"33","1518810921337","0.0909824","0.0622511","9.80216"
"34","1518810921347","0.0933767","0.0646454","9.80216"
"35","1518810921361","0.0933767","0.0454912","9.80456"
"36","1518810921367","0.117319","0.0359141","9.79498"
"37","1518810921378","0.122108","0.0407027","9.80216"
"38","1518810921387","0.0981653","0.0239427","9.80216"
"39","1518810921397","0.117319","0.0478855","9.79737"
"40","1518810921409","0.129291","0.0359141","9.79977"
"41","1518810921418","0.131685","0.0407027","9.80456"
"42","1518810921427","0.148445","0.0383084","9.80216"
"43","1518810921438","0.134079","0.026337","9.80456"
"44","1518810921448","0.150839","0.0502798","9.79977"
"45","1518810921460","0.155628","0.0598569","9.79977"
"46","1518810921467","0.148445","0.0407027","9.80216"
"47","1518810921478","0.102954","0.0550683","9.79498"
"48","1518810921487","0.122108","0.0598569","9.78779"
"49","1518810921499","0.110137","0.0478855","9.79737"
"50","1518810921512","0.119714","0.0502798","9.80216"
"51","1518810921517","0.114925","0.0574626","9.79737"
"52","1518810921527","0.122108","0.0598569","9.79977"
"53","1518810921538","0.0981653","0.0359141","9.80216"
"54","1518810921546","0.0814053","0.0670397","9.82132"
"55","1518810921563","0.0885882","0.0670397","9.80216"
"56","1518810921569","0.0933767","0.0574626","9.80456"
"57","1518810921580","0.095771","0.0359141","9.80216"
"58","1518810921589","0.105348","0.026337","9.79258"
"59","1518810921599","0.110137","0.0407027","9.79498"
"60","1518810921609","0.112531","0.0119714","9.80216"
"61","1518810921619","0.107742","0.0095771","9.80216"
"62","1518810921629","0.122108","0.0454912","9.79737"
"63","1518810921639","0.138868","0.0335198","9.79977"
"64","1518810921649","0.126897","0.0478855","9.79258"
"65","1518810921660","0.126897","0.0622511","9.79977"
"66","1518810921669","0.124502","0.0622511","9.80216"
"67","1518810921680","0.112531","0.0670397","9.79258"
"68","1518810921689","0.117319","0.0622511","9.79498"
"69","1518810921699","0.119714","0.0622511","9.79737"
"70","1518810921710","0.0981653","0.0670397","9.79977"
"71","1518810921720","0.107742","0.0622511","9.79737"
"72","1518810921729","0.095771","0.0550683","9.80216"
"73","1518810921740","0.112531","0.0646454","9.80216"
"74","1518810921754","0.117319","0.0550683","9.80216"
"75","1518810921760","0.114925","0.0454912","9.79737"
"76","1518810921770","0.107742","0.0478855","9.76625"
"77","1518810921779","0.0885882","0","9.80695"
"78","1518810921789","0.0837996","0.0311256","9.80216"
"79","1518810921800","0.0981653","0.0095771","9.80216"
"80","1518810921810","0.0981653","0.0143656","9.80216"
"81","1518810921819","0.102954","0.00718282","9.79977"
"82","1518810921829","0.105348","0.0430969","9.79977"
"83","1518810921840","0.129291","0.0359141","9.79977"
"84","1518810921849","0.131685","0.0502798","9.78061"
"85","1518810921860","0.134079","0.0670397","9.534"
"86","1518810921869","0.0933767","0.0670397","9.97694"
"87","1518810921877","0.095771","0.0670397","9.77343"
"88","1518810921887","0.105348","0.0670397","9.79737"
"89","1518810921897","0.0981653","0.0670397","9.81413"
"90","1518810921907","0.10056","0.0646454","9.80216"
"91","1518810921918","0.112531","0.0670397","9.79977"
"92","1518810921927","0.114925","0.052674","9.79019"
"93","1518810921936","0.119714","0.0574626","9.78301"
"94","1518810921946","0.107742","0.0670397","9.76625"
"95","1518810921991","0.105348","0.0478855","9.80216"
"96","1518810921991","0.0933767","0.0407027","9.79977"
"97","1518810921991","0.117319","0.026337","9.79737"
"98","1518810921991","0.107742","0.0335198","9.79737"
"99","1518810922028","0.112531","0.026337","9.79258"
"100","1518810922028","0.105348","0.026337","9.79019"
"101","1518810922028","0.105348","0.026337","9.79737"
"102","1518810922095","0.102954","0.0239427","9.79977"
"103","1518810922095","0.102954","0.0359141","9.79977"
"104","1518810922095","0.110137","0.0335198","9.79977"
"105","1518810922095","0.119714","0.0502798","9.79737"
"106","1518810922095","0.107742","0.0454912","9.79737"
"107","1518810922095","0.119714","0.052674","9.79977"
"108","1518810922096","0.107742","0.0598569","9.79737"
"109","1518810922152","0.110137","0.0646454","9.79498"
"110","1518810922152","0.124502","0.0478855","9.80216"
"111","1518810922152","0.122108","0.0670397","9.79737"
"112","1518810922152","0.122108","0.0646454","9.79498"
"113","1518810922152","0.110137","0.0598569","9.79737"
"114","1518810922152","0.134079","0.0622511","9.77822"
"115","1518810922174","0.136474","0.0335198","9.79737"
"116","1518810922174","0.136474","0.0502798","9.80216"
"117","1518810922191","0.126897","0.0622511","9.79019"
"118","1518810922192","0.126897","0.0550683","9.80216"
"119","1518810922208","0.122108","0.0335198","9.79737"
"120","1518810922208","0.117319","0.0239427","9.79977"
"121","1518810922224","0.126897","0.0335198","9.80216"
"122","1518810922241","0.124502","0.0335198","9.79977"
"123","1518810922241","0.124502","0.0502798","9.79258"
"124","1518810922258","0.119714","0.0502798","9.79977"
"125","1518810922276","0.107742","0.0407027","9.79977"
"126","1518810922276","0.107742","0.0478855","9.79498"
"127","1518810922293","0.10056","0.0287313","9.78779"
"128","1518810922294","0.0981653","0.0502798","9.79498"
"129","1518810922306","0.095771","0.0574626","9.80216"
"130","1518810922323","0.105348","0.0287313","9.80216"
"131","1518810922323","0.0981653","0.0454912","9.79977"
"132","1518810922340","0.114925","0.0311256","9.80216"
"133","1518810922357","0.117319","0.0407027","9.79737"
"134","1518810922357","0.122108","0.0359141","9.79258"
"135","1518810922358","0.124502","0.0335198","9.78779"
"136","1518810922374","0.129291","0.0478855","9.79737"
"137","1518810922393","0.122108","0.0574626","9.79737"
"138","1518810922393","0.102954","0.0670397","9.7854"
"139","1518810922408","0.105348","0.0598569","9.7854"
"140","1518810922408","0.107742","0.0670397","9.79019"
"141","1518810922423","0.138868","0.0454912","9.80216"
"142","1518810922441","0.134079","0.0598569","9.80456"
"143","1518810922441","0.136474","0.0359141","9.80216"
"144","1518810922460","0.134079","0.0407027","9.80456"
"145","1518810922460","0.0885882","0.026337","9.79498"
"146","1518810922477","0.119714","0.0119714","9.79019"
"147","1518810922495","0.112531","0.0287313","9.79977"
"148","1518810922495","0.129291","0.0407027","9.7854"
"149","1518810922510","0.105348","0.0359141","9.79498"
"150","1518810922526","0.0981653","0.0311256","9.79977"
"151","1518810922526","0.10056","0.0407027","9.79977"
"152","1518810922529","0.0981653","0.0670397","9.79737"
"153","1518810922538","0.0933767","0.0670397","9.79737"
"154","1518810922548","0.0885882","0.0670397","9.79258"
"155","1518810922560","0.0861939","0.0622511","9.80695"
"156","1518810922568","0.0981653","0.0670397","9.79737"
"157","1518810922579","0.0909824","0.0670397","9.79019"
"158","1518810922593","0.0981653","0.0502798","9.80216"
"159","1518810922598","0.126897","0.0430969","9.79258"
"160","1518810922608","0.122108","0.0550683","9.79498"
"161","1518810922619","0.122108","0.0119714","9.80216"
"162","1518810922629","0.126897","0.00239427","9.78779"
"163","1518810922641","0.136474","0.0239427","9.79258"
"164","1518810922649","0.119714","0.0143656","9.79498"
"165","1518810922662","0.122108","0.026337","9.79977"
"166","1518810922669","0.110137","0.0119714","9.79977"
"167","1518810922679","0.105348","0.0119714","9.79258"
"168","1518810922689","0.107742","0.0430969","9.76864"
"169","1518810922700","0.0933767","0.0646454","9.79977"
"170","1518810922709","0.105348","0.0670397","9.80456"
"171","1518810922719","0.0790111","0.0670397","9.80456"
"172","1518810922729","0.095771","0.0670397","9.80456"
"173","1518810922742","0.0814053","0.0670397","9.80695"
"174","1518810922753","0.0766168","0.0670397","9.80934"
"175","1518810922764","0.0981653","0.0670397","9.80456"
"176","1518810922769","0.0981653","0.0622511","9.79977"
"177","1518810922779","0.119714","0.0407027","9.78301"
"178","1518810922789","0.112531","0.0407027","9.80216"
"179","1518810922800","0.141262","0.0287313","9.80456"
"180","1518810922809","0.124502","0.0454912","9.79737"
"181","1518810922820","0.126897","0.0335198","9.79498"
"182","1518810922829","0.126897","0.0191542","9.79977"
"183","1518810922839","0.114925","0.0215485","9.78301"
"184","1518810922853","0.131685","0.0191542","9.79977"
"185","1518810922860","0.122108","0.026337","9.79019"
"186","1518810922869","0.134079","0.0239427","9.79258"
"187","1518810922879","0.126897","0.0311256","9.79737"
"188","1518810922889","0.117319","0.0407027","9.80216"
"189","1518810922897","0.112531","0.0143656","9.79498"
"190","1518810922908","0.0981653","0.0670397","9.79737"
"191","1518810922918","0.0909824","0.0670397","9.80456"
"192","1518810922928","0.0718282","0.0670397","9.80456"
"193","1518810922940","0.095771","0.0622511","9.79498"
"194","1518810922947","0.0814053","0.0502798","9.80216"
"195","1518810922958","0.0837996","0.0670397","9.80695"
"196","1518810922970","0.0933767","0.0670397","9.80456"
"197","1518810922978","0.0933767","0.0574626","9.80216"
"198","1518810922987","0.105348","0.026337","9.79977"
"199","1518810922998","0.119714","0.0383084","9.78061"
"200","1518810923008","0.124502","0.0478855","9.78779"
"201","1518810923018","0.136474","0.0454912","9.79737"
"202","1518810923028","0.148445","0.0215485","9.80216"
"203","1518810923039","0.141262","0.0311256","9.79737"
"204","1518810923048","0.138868","0.0383084","9.78301"
"205","1518810923059","0.138868","0.026337","9.80695"
"206","1518810923068","0.122108","0.0454912","9.80216"
"207","1518810923078","0.131685","0.0311256","9.79498"
"208","1518810923088","0.124502","0.0359141","9.80216"
"209","1518810923099","0.107742","0.0550683","9.79977"
"210","1518810923107","0.107742","0.0670397","9.78779"
"211","1518810923118","0.0981653","0.0670397","9.80216"
"212","1518810923128","0.10056","0.0454912","9.80216"
"213","1518810923139","0.0861939","0.0670397","9.80216"
"214","1518810923148","0.0909824","0.0646454","9.79977"
"215","1518810923160","0.0885882","0.0670397","9.80216"
"216","1518810923169","0.0837996","0.0670397","9.80695"
"217","1518810923179","0.0981653","0.0622511","9.79977"
