"id","attr_time","attr_x","attr_y","attr_z"
"1","1518810923724","0.00122173","0","0"
"2","1518810923741","0.00122173","0","0"
"3","1518810923773","0","-0.00122173","0.00122173"
"4","1518810923794","0","-0.00244346","0.00122173"
"5","1518810923813","0.00122173","-0.00122173","0.00122173"
"6","1518810923826","0.00122173","-0.00122173","0.00122173"
"7","1518810923844","0.00122173","0.00122173","0.00122173"
"8","1518810923872","0.00122173","0","0.00122173"
"9","1518810923890","0.00122173","0","0"
"10","1518810923905","0","0","0"
"11","1518810923924","-0.00122173","0.0122173","0.00122173"
"12","1518810923955","-0.00122173","0.0109956","0.00122173"
"13","1518810923972","0","0.00488692","0"
"14","1518810923988","-0.00122173","0","0"
"15","1518810924006","0","0","0.00122173"
"16","1518810924021","0","0","0.00122173"
"17","1518810924055","0.00244346","-0.00366519","0"
"18","1518810924072","0.00244346","-0.00366519","0"
"19","1518810924088","0.00122173","0","0"
"20","1518810924104","0.00122173","0","0.00122173"
"21","1518810924123","0.00122173","0","0.00122173"
"22","1518810924154","0","0.00122173","0"
"23","1518810924171","0.00122173","0","-0.00122173"
"24","1518810924188","0","-0.00122173","0"
"25","1518810924205","0.00122173","-0.00244346","0"
"26","1518810924221","0.00122173","-0.00122173","0"
"27","1518810924239","0.00122173","-0.00122173","0"
"28","1518810924271","0.00122173","-0.00122173","0"
"29","1518810924289","0.00122173","0","0"
"30","1518810924305","0.00244346","-0.00122173","0.00122173"
"31","1518810924321","0.00122173","-0.00244346","0"
"32","1518810924355","0.00122173","-0.00244346","-0.00122173"
"33","1518810924372","0","0","0.00122173"
"34","1518810924387","0","0","0"
"35","1518810924404","-0.00122173","0.00122173","0.00122173"
"36","1518810924420","0","0.00244346","0"
"37","1518810924456","0","0","0.00122173"
"38","1518810924472","0.00122173","-0.00122173","0"
"39","1518810924489","0.00122173","0","0.00122173"
"40","1518810924504","0.00122173","0.00122173","0.00122173"
"41","1518810924521","0.00122173","0.00122173","0"
"42","1518810924554","0","0.00244346","0"
"43","1518810924571","0","0.00244346","0.00122173"
"44","1518810924590","-0.00122173","0.00610865","0.00122173"
"45","1518810924603","-0.00122173","0.00366519","0"
"46","1518810924639","0","0.00122173","0"
"47","1518810924654","0.00122173","-0.00122173","0.00122173"
"48","1518810924671","0.00122173","-0.00122173","0"
"49","1518810924687","0.00244346","-0.00122173","0.00122173"
"50","1518810924704","0.00366519","-0.00244346","0"
"51","1518810924721","0.00488692","-0.0109956","0"
"52","1518810924755","0.00366519","-0.0146608","0.00122173"
"53","1518810924771","0.00244346","-0.00610865","0.00122173"
"54","1518810924788","0.00122173","-0.00366519","0.00122173"
"55","1518810924804","0.00122173","-0.00610865","0.00122173"
"56","1518810924821","0.00244346","-0.00977384","-0.00122173"
"57","1518810924853","0.00244346","-0.00977384","0"
"58","1518810924871","0.00244346","-0.00610865","-0.00122173"
"59","1518810924887","0.00244346","-0.00366519","0"
"60","1518810924903","0.00244346","-0.00122173","0.00122173"
"61","1518810924937","0.00244346","-0.00244346","0"
"62","1518810924953","0.00122173","-0.00244346","0"
"63","1518810924970","0.00244346","-0.00122173","0"
"64","1518810924986","0.00122173","0.00122173","0"
"65","1518810925003","0","0.00122173","0.00122173"
"66","1518810925036","0","0.00122173","0"
"67","1518810925054","0","0","0"
"68","1518810925071","0","0.00122173","0.00122173"
"69","1518810925087","0.00122173","0.00122173","0"
"70","1518810925104","0.00244346","0.00122173","0.00122173"
"71","1518810925136","0.00122173","0.00122173","0.00122173"
"72","1518810925153","0.00244346","0.00122173","0.00122173"
"73","1518810925169","0.00122173","0.00122173","0.00122173"
"74","1518810925186","0.00122173","0.00122173","0"
"75","1518810925200","0","0.00122173","0"
"76","1518810925220","0","0.00244346","0"
"77","1518810925240","0","0.00122173","0"
"78","1518810925260","0.00122173","0.00122173","0.00122173"
"79","1518810925281","0.00122173","0.00122173","0"
"80","1518810925300","0.00122173","0.00122173","0"
"81","1518810925320","0","0.00122173","0"
"82","1518810925341","0","0","0"
"83","1518810925362","0","0.00122173","0.00122173"
"84","1518810925383","0.00122173","0.00122173","0"
"85","1518810925403","0.00122173","0.00122173","0"
"86","1518810925423","0.00122173","0.00244346","0"
"87","1518810925443","0","0.00122173","0"
"88","1518810925462","0.00122173","0.00122173","0"
"89","1518810925481","0.00122173","0.00122173","0"
"90","1518810925502","0","0.00122173","0.00122173"
"91","1518810925522","0.00122173","0.00244346","0.00122173"
"92","1518810925542","0.00122173","0.00122173","0"
"93","1518810925561","0.00122173","0.00122173","0"
"94","1518810925582","0.00122173","0.00122173","0.00122173"
"95","1518810925600","0.00122173","0","0"
"96","1518810925620","0","0.00122173","0.00122173"
"97","1518810925644","0","0.00244346","0.00122173"
"98","1518810925660","0.00122173","0.00122173","0"
"99","1518810925680","0.00122173","0.00122173","0"
"100","1518810925703","0.00122173","0.00244346","0"
"101","1518810925721","0.00122173","0.00244346","0.00122173"
"102","1518810925741","0.00122173","0.00122173","0"
"103","1518810925761","0.00122173","0.00122173","0"
"104","1518810925780","0.00122173","0","0"
"105","1518810925802","0.00122173","0.00122173","0.00122173"
"106","1518810925821","0.00122173","0.00244346","0"
"107","1518810925840","0.00122173","0.00610865","0"
"108","1518810925860","-0.00366519","0.0280998","0"
"109","1518810925881","-0.00122173","0.0171042","0"
"110","1518810925903","-0.00122173","0.0109956","0"
"111","1518810925920","0","0.00610865","0"
"112","1518810925941","0","0.00366519","0.00122173"
"113","1518810925960","0.00122173","0.00122173","0.00122173"
"114","1518810925980","0.00122173","-0.00488692","0"
"115","1518810926003","0.00244346","-0.00488692","0.00122173"
"116","1518810926021","0.00244346","-0.00244346","0"
"117","1518810926040","0.00122173","0.00244346","0"
"118","1518810926061","0.00122173","0.00488692","-0.00122173"
"119","1518810926080","0","0.00366519","0"
"120","1518810926104","0.00122173","-0.00122173","0"
"121","1518810926122","0.00122173","-0.00122173","0"
"122","1518810926140","0","-0.00244346","0"
"123","1518810926160","0.00122173","0","0.00122173"
"124","1518810926180","0","0.00244346","0"
"125","1518810926205","0","0.00244346","0"
"126","1518810926221","0.00244346","-0.00366519","-0.00122173"
"127","1518810926241","0.00366519","-0.00733038","0"
"128","1518810926261","0.00244346","-0.00855211","0.00122173"
"129","1518810926282","0.00244346","-0.00733038","-0.00122173"
"130","1518810926305","0.00244346","-0.00733038","0.00122173"
"131","1518810926321","0.00122173","-0.00610865","0.00122173"
"132","1518810926341","0.00122173","-0.00366519","0.00122173"
"133","1518810926361","0.00122173","0","0"
"134","1518810926380","0.00122173","0","0"
"135","1518810926401","0.00122173","0","0"
"136","1518810926422","0.00122173","0.00244346","0"
"137","1518810926441","0","0.00244346","0"
