"id","attr_time","attr_azimuth","attr_pitch","attr_roll"
"1","1518810929158","291.913","-1.02271","7.34025"
"2","1518810929171","291.913","-1.00731","7.30849"
"3","1518810929178","291.915","-0.987433","7.24277"
"4","1518810929201","291.916","-0.964294","7.1413"
"5","1518810929203","291.918","-0.938873","7.00835"
"6","1518810929208","291.921","-0.912535","6.84971"
"7","1518810929224","291.924","-0.885972","6.67112"
"8","1518810929233","291.927","-0.8597","6.47695"
"9","1518810929238","291.93","-0.833126","6.27319"
"10","1518810929250","291.933","-0.808147","6.06319"
"11","1518810929258","291.936","-0.784766","5.85042"
"12","1518810929269","291.939","-0.762826","5.64045"
"13","1518810929278","291.941","-0.742605","5.43389"
"14","1518810929288","291.944","-0.723909","5.23225"
"15","1518810929301","291.946","-0.706772","5.03917"
"16","1518810929310","291.948","-0.690944","4.85502"
"17","1518810929318","291.951","-0.676398","4.67923"
"18","1518810929328","291.953","-0.662937","4.51291"
"19","1518810929348","291.954","-0.650597","4.35496"
"20","1518810929348","291.956","-0.639084","4.20604"
"21","1518810929364","291.958","-0.627835","4.06657"
"22","1518810929394","291.959","-0.617464","3.93379"
"23","1518810929394","291.96","-0.607362","3.8088"
"24","1518810929394","291.962","-0.598163","3.69232"
"25","1518810929410","291.963","-0.589592","3.58208"
"26","1518810929411","291.964","-0.580857","3.47783"
"27","1518810929422","291.965","-0.57304","3.37958"
"28","1518810929434","291.966","-0.56573","3.28653"
"29","1518810929437","291.967","-0.559059","3.19889"
"30","1518810929450","291.967","-0.552835","3.11571"
"31","1518810929458","291.968","-0.547069","3.03574"
"32","1518810929481","291.969","-0.541602","2.9586"
"33","1518810929481","291.97","-0.536529","2.88478"
"34","1518810929497","291.97","-0.531626","2.8148"
"35","1518810929498","291.971","-0.526863","2.74769"
"36","1518810929514","291.971","-0.522494","2.68389"
"37","1518810929531","291.972","-0.518231","2.62362"
"38","1518810929531","291.972","-0.514243","2.56561"
"39","1518810929547","291.973","-0.510524","2.50985"
"40","1518810929565","291.974","-0.50685","2.45772"
"41","1518810929565","291.974","-0.503291","2.40789"
"42","1518810929586","291.974","-0.499872","2.36091"
"43","1518810929586","291.975","-0.496118","2.3169"
"44","1518810929604","291.975","-0.492325","2.27437"
"45","1518810929604","291.975","-0.489025","2.23398"
"46","1518810929608","291.976","-0.485907","2.19537"
"47","1518810929619","291.976","-0.48291","2.15822"
"48","1518810929632","291.976","-0.480221","2.12225"
"49","1518810929637","291.977","-0.477751","2.08739"
"50","1518810929649","291.977","-0.475428","2.05375"
"51","1518810929657","291.977","-0.473171","2.02042"
"52","1518810929668","291.977","-0.471035","1.98814"
"53","1518810929678","291.978","-0.46902","1.9565"
"54","1518810929687","291.978","-0.467005","1.92528"
"55","1518810929698","291.978","-0.465109","1.8951"
"56","1518810929708","291.979","-0.463367","1.86613"
"57","1518810929719","291.979","-0.461655","1.83732"
"58","1518810929731","291.979","-0.459839","1.80969"
"59","1518810929737","291.979","-0.457985","1.78355"
"60","1518810929747","291.979","-0.45638","1.75826"
"61","1518810929759","291.98","-0.454862","1.73429"
"62","1518810929769","291.98","-0.453146","1.71184"
"63","1518810929778","291.98","-0.451553","1.69002"
"64","1518810929789","291.98","-0.449634","1.66951"
"65","1518810929799","291.98","-0.447169","1.65001"
"66","1518810929808","291.98","-0.444699","1.63134"
"67","1518810929818","291.981","-0.442547","1.61301"
"68","1518810929829","291.981","-0.440327","1.5952"
"69","1518810929838","291.981","-0.438392","1.57758"
"70","1518810929849","291.981","-0.436549","1.56044"
"71","1518810929858","291.981","-0.434864","1.54326"
"72","1518810929869","291.981","-0.433466","1.52628"
"73","1518810929880","291.981","-0.432163","1.50936"
