"id","attr_time","attr_x","attr_y","attr_z"
"1","1518810930353","0.007891","-0.005547","0.559252"
"2","1518810930359","0.007859","-0.005495","0.559262"
"3","1518810930370","0.007833","-0.005451","0.559267"
"4","1518810930386","0.007799","-0.005406","0.559267"
"5","1518810930391","0.007765","-0.005362","0.559278"
"6","1518810930405","0.007733","-0.005319","0.559278"
"7","1518810930416","0.0077","-0.005276","0.559278"
"8","1518810930423","0.007668","-0.005235","0.559278"
"9","1518810930440","0.007636","-0.005194","0.559278"
"10","1518810930441","0.007605","-0.005152","0.559278"
"11","1518810930458","0.007573","-0.005111","0.559279"
"12","1518810930459","0.007543","-0.005072","0.559279"
"13","1518810930473","0.007514","-0.005036","0.559279"
"14","1518810930488","0.007487","-0.005003","0.559279"
"15","1518810930490","0.007459","-0.00497","0.559279"
"16","1518810930501","0.007432","-0.004936","0.559279"
"17","1518810930513","0.007406","-0.004904","0.559279"
"18","1518810930519","0.007381","-0.004873","0.559279"
"19","1518810930530","0.007357","-0.004841","0.559279"
"20","1518810930539","0.007334","-0.00481","0.559279"
"21","1518810930550","0.00731","-0.004777","0.55928"
"22","1518810930560","0.007285","-0.004743","0.55928"
"23","1518810930570","0.00726","-0.004708","0.55928"
"24","1518810930579","0.007236","-0.004674","0.55928"
"25","1518810930590","0.007213","-0.00464","0.55928"
"26","1518810930599","0.00719","-0.004607","0.55928"
"27","1518810930614","0.007168","-0.004576","0.55928"
"28","1518810930620","0.007147","-0.004544","0.55928"
"29","1518810930631","0.007124","-0.004515","0.55928"
"30","1518810930640","0.007101","-0.004487","0.55928"
"31","1518810930649","0.007079","-0.004461","0.55928"
"32","1518810930659","0.007054","-0.004438","0.55928"
"33","1518810930670","0.00703","-0.00442","0.55928"
"34","1518810930680","0.007007","-0.004404","0.559281"
"35","1518810930690","0.006984","-0.004389","0.559281"
"36","1518810930699","0.006964","-0.004376","0.559281"
"37","1518810930709","0.006945","-0.004361","0.559281"
"38","1518810930719","0.006928","-0.004347","0.559281"
"39","1518810930730","0.006913","-0.004335","0.559281"
"40","1518810930739","0.0069","-0.004327","0.559281"
"41","1518810930751","0.006888","-0.004319","0.559281"
"42","1518810930761","0.006877","-0.00431","0.559281"
"43","1518810930771","0.006866","-0.004299","0.559281"
"44","1518810930782","0.006853","-0.004284","0.559281"
"45","1518810930790","0.006838","-0.004266","0.559281"
"46","1518810930799","0.006821","-0.004244","0.559281"
"47","1518810930812","0.006802","-0.004218","0.559281"
"48","1518810930819","0.006782","-0.004189","0.559282"
"49","1518810930831","0.00676","-0.004157","0.559282"
"50","1518810930840","0.006738","-0.004123","0.559282"
"51","1518810930851","0.006712","-0.004089","0.559282"
"52","1518810930859","0.006686","-0.004057","0.559282"
"53","1518810930870","0.006661","-0.004031","0.559282"
"54","1518810930879","0.006639","-0.00401","0.559282"
"55","1518810930889","0.006617","-0.003997","0.559282"
