"id","attr_time","attr_x","attr_y","attr_z"
"1","1518805809961","0.0612794","-0.0878429","-0.202867"
"2","1518805809961","-0.0352549","-0.0262196","-0.164208"
"3","1518805809983","-0.0799203","0.00775558","-0.0145264"
"4","1518805809983","-0.106075","0.00237362","0.0707417"
"5","1518805809997","-0.0139898","-0.0230016","0.152365"
"6","1518805809997","0.0347782","-0.0184013","0.232986"
"7","1518805810012","0.0795389","-0.014721","0.243852"
"8","1518805810014","0.0655465","-0.0117768","0.174012"
"9","1518805810029","0.0275368","0.0652799","0.0606775"
"10","1518805810045","0.00670607","0.132672","0.0351343"
"11","1518805810045","0.00728028","0.165515","0.0300226"
"12","1518805810062","0.095849","0.134328","0.0182724"
"13","1518805810082","0.145634","0.0653229","0.00121021"
"14","1518805810082","0.141408","0.0158653","-0.0718174"
"15","1518805810101","0.0805642","0.0261002","-0.0727778"
"16","1518805810101","-0.0159963","-0.000189453","-0.0620527"
"17","1518805810118","-0.0587671","-0.0959226","-0.0592194"
"18","1518805810119","-0.0929838","-0.120793","0.0062561"
"19","1518805810137","-0.0533174","-0.180913","0.0701294"
"20","1518805810137","-0.0484002","-0.177292","0.0714264"
"21","1518805810159","-0.0138197","-0.180142","0.0820417"
"22","1518805810159","0.0444914","-0.147945","0.0215788"
"23","1518805810180","0.114125","-0.0436543","2.38419e-05"
"24","1518805810181","0.118116","0.00146953","-0.0708513"
"25","1518805810194","0.138548","0.016499","-0.0969048"
"26","1518805810195","0.0859376","-0.00978585","-0.14648"
"27","1518805810210","0.0151183","0.00174842","-0.126761"
"28","1518805810228","-0.0645222","-0.01584","-0.145463"
"29","1518805810228","-0.0784336","-0.00692578","-0.101048"
"30","1518805810244","-0.0512544","-0.0036252","-0.0789223"
"31","1518805810244","-0.0563269","0.016254","-0.00759029"
"32","1518805810261","0.0468787","-0.0367977","0.0456438"
"33","1518805810277","0.0260104","0.0376015","0.0537539"
"34","1518805810278","0.00356956","0.0588125","0.0353413"
"35","1518805810296","0.0469103","0.0623734","-0.101975"
"36","1518805810296","-0.00844182","0.0613912","-0.181182"
"37","1518805810313","-0.146579","0.0222971","-0.125792"
"38","1518805810314","-0.232188","-0.0396249","-0.100634"
"39","1518805810330","-0.323661","-0.207919","-0.0172987"
"40","1518805810349","-0.264675","-0.313822","-0.044486"
"41","1518805810350","-0.0891532","-0.337252","-0.0681505"
"42","1518805810361","0.0206176","-0.254478","-0.0947447"
"43","1518805810377","0.0701258","-0.103981","-0.0336561"
"44","1518805810377","0.048439","0.0279099","-0.0288401"
