"attr_time","attr_x","attr_y","attr_z"
"1518483583040","0.0925236","-0.0795906","0.0719995"
"1518483583057","-0.0677222","-0.130712","-0.0994644"
"1518483583083","0.0166928","-0.0528533","0.341821"
"1518483583100","0.00186169","-0.228079","0.258134"
"1518483583133","0.1892","-0.220771","0.219915"
"1518483583150","-0.0229428","-0.0329607","-0.163097"
"1518483583169","-0.0662397","0.0904725","-0.214756"
"1518483583183","0.109819","0.0149152","0.19404"
"1518483583196","0.26982","-0.198764","0.159063"
"1518483583228","0.265657","-0.170504","0.224936"
"1518483583244","0.126332","-0.0406318","0.0554466"
"1518483583261","0.0187023","0.0383651","0.264631"
"1518483583280","0.0628473","-0.23172","-0.0468769"
"1518483583316","0.192019","-0.258162","0.119562"
"1518483583320","0.1517","-0.147152","0.00562477"
"1518483583334","0.12136","-0.0909057","0.0581312"
"1518483583356","0.033879","-0.143595","0.0235205"
"1518483583377","0.140113","-0.164677","0.0801106"
"1518483583397","0.131245","-0.0896025","0.0353575"
"1518483583416","0.179697","-0.0276275","-0.222634"
"1518483583436","0.0786333","0.0966542","-0.0823364"
"1518483583457","-0.0137101","0.0658309","0.006917"
"1518483583476","0.0369174","-0.0488524","0.0246878"
"1518483583497","0.0812502","-0.05249","0.00251102"
"1518483583517","0.141617","-0.0764694","-0.126325"
"1518483583536","0.151602","0.0116105","-0.0263576"
"1518483583557","-0.0453599","0.0533431","-0.053648"
"1518483583576","-0.101412","-0.0320272","0.079668"
"1518483583596","-0.0485676","-0.0371144","0.155675"
"1518483583620","0.0415935","-0.121632","0.0689926"
"1518483583638","0.0926528","-0.0609121","0.0896711"
"1518483583656","-0.0331412","-0.0199983","-0.0297794"
"1518483583676","-0.0609905","0.110419","-0.0487242"
"1518483583697","-0.060285","0.0538576","-0.00641727"
"1518483583716","0.0532893","-0.0258689","-0.0625963"
"1518483583736","0.115417","-0.114551","0.319598"
"1518483583757","0.0865877","-0.196989","-0.0507879"
"1518483583776","-0.0303317","0.0645976","-0.176625"
"1518483583796","-0.0472504","0.168519","0.0521565"
"1518483583817","0.036901","-0.00884151","-0.00807571"
"1518483583836","0.0448442","-0.118167","-0.148202"
"1518483583856","-0.015841","0.0280528","-0.0687609"
