"id","attr_time","attr_x","attr_y","attr_z"
"1","1518483583041","-0.204029","-0.100182","0.0195477"
"2","1518483583057","-0.19792","-0.0867429","-0.00244346"
"3","1518483583084","-0.156382","-0.103847","-0.0207694"
"4","1518483583100","-0.160047","-0.152716","-0.0232129"
"5","1518483583133","-0.136834","-0.153938","-0.013439"
"6","1518483583150","-0.0977384","-0.145386","0"
"7","1518483583170","-0.0671952","-0.111177","-0.0195477"
"8","1518483583183","-0.109956","-0.0842994","-0.0280998"
"9","1518483583196","-0.188146","-0.116064","-0.018326"
"10","1518483583228","-0.211359","-0.201586","-0.00733038"
"11","1518483583245","-0.18326","-0.21869","-0.00855211"
"12","1518483583261","-0.152716","-0.189368","-0.00610865"
"13","1518483583281","-0.156382","-0.178373","0.018326"
"14","1518483583317","-0.163712","-0.184481","0.111177"
"15","1518483583321","-0.129503","-0.167377","0.102625"
"16","1518483583335","-0.105069","-0.12706","0.0842994"
"17","1518483583356","-0.124617","-0.11973","0.0757473"
"18","1518483583377","-0.0879646","-0.076969","0.0891863"
"19","1518483583397","-0.00855211","-0.0733038","0.0745256"
"20","1518483583417","0.0647517","-0.0659734","0.0525344"
"21","1518483583437","0.0671952","-0.0464258","0.0232129"
"22","1518483583457","-0.0109956","-0.050091","-0.00610865"
"23","1518483583476","-0.0647517","-0.0513127","0.00610865"
"24","1518483583497","-0.0610865","-0.0342085","0.0305433"
"25","1518483583517","-0.0207694","-0.0244346","0.0329867"
"26","1518483583537","0.0195477","-0.013439","0.0122173"
"27","1518483583557","0.00855211","-0.0390954","-0.0378736"
"28","1518483583577","-0.0305433","-0.0293215","-0.0598648"
"29","1518483583597","-0.0586431","-0.0122173","-0.0476475"
"30","1518483583620","-0.0537561","-0.0354302","-0.0268781"
"31","1518483583638","-0.0390954","-0.0293215","-0.00244346"
"32","1518483583657","-0.031765","-0.0219911","-0.00366519"
"33","1518483583677","-0.00977384","-0.00244346","-0.0195477"
"34","1518483583698","-0.0122173","-0.00366519","-0.0232129"
"35","1518483583717","-0.0366519","-0.0219911","-0.00977384"
"36","1518483583737","-0.0574213","-0.045204","0.00977384"
"37","1518483583757","-0.050091","-0.0525344","0.00855211"
"38","1518483583777","0.00366519","-0.0488692","0.00733038"
"39","1518483583797","0.0354302","0.0158825","-0.00855211"
"40","1518483583817","0.00733038","0.0415388","-0.0158825"
"41","1518483583837","-0.0158825","-0.00977384","0.00244346"
"42","1518483583857","-0.00733038","-0.031765","-0.00244346"
"43","1518483583877","-0.00610865","0.00488692","-0.0122173"
"44","1518483583897","-0.0109956","0.0439823","0.0305433"
"45","1518483583917","0.0122173","-0.00488692","0.0256563"
"46","1518483583937","0.0427606","-0.0109956","0.0158825"
"47","1518483583956","0.0561996","-0.0195477","0.0146608"
"48","1518483583977","0.0671952","-0.0549779","0.0513127"
"49","1518483583997","0.0916298","-0.0684169","0.0757473"
"50","1518483584016","0.135612","-0.0342085","0.0659734"
"51","1518483584036","0.142942","0.156382","0.0256563"
"52","1518483584057","0.0989602","0.212581","-0.0598648"
"53","1518483584081","0.0427606","0.229685","-0.0781908"
"54","1518483584118","-0.0586431","0.124617","-0.0525344"
"55","1518483584118","-0.0977384","-0.0647517","-0.0623083"
"56","1518483584145","-0.0354302","-0.0867429","-0.031765"
"57","1518483584169","0.00244346","-0.0537561","-0.0390954"
"58","1518483584194","-0.0623083","-0.0122173","-0.0488692"
"59","1518483584194","-0.195477","-0.00366519","-0.00610865"
"60","1518483584224","-0.217468","-0.0219911","0.00122173"
"61","1518483584237","-0.112399","-0.0268781","-0.00855211"
"62","1518483584255","0.00610865","0.0219911","-0.00488692"
"63","1518483584279","0.0525344","0.0378736","-0.00122173"
"64","1518483584295","0.0146608","0.0305433","0.013439"
"65","1518483584317","-0.0439823","0.013439","0.0207694"
"66","1518483584335","-0.0684169","-0.00855211","0.0256563"
"67","1518483584356","-0.0403171","-0.0329867","0.0305433"
"68","1518483584380","0.018326","-0.0219911","0.0268781"
"69","1518483584396","0.0464258","0.00733038","0.0146608"
"70","1518483584419","0.0244346","0.0158825","0.00733038"
"71","1518483584436","-0.031765","-0.0109956","-0.00122173"
"72","1518483584455","-0.101404","-0.0427606","-0.00610865"
"73","1518483584479","-0.0842994","-0.0867429","-0.00855211"
"74","1518483584497","0.00488692","-0.06353","-0.00733038"
"75","1518483584517","0.0207694","-0.0488692","-0.00244346"
"76","1518483584536","-0.0390954","-0.0378736","0.013439"
"77","1518483584557","-0.0842994","-0.0378736","0.0207694"
"78","1518483584582","-0.0586431","-0.0280998","0.0158825"
"79","1518483584596","0.0280998","0.00977384","0.00488692"
"80","1518483584615","0.0965167","0.0354302","-0.00610865"
"81","1518483584636","0.111177","0.0403171","0"
"82","1518483584655","0.0561996","0.0244346","0.00488692"
"83","1518483584682","-0.0122173","0.018326","0.0122173"
"84","1518483584700","-0.013439","0.013439","0.0109956"
"85","1518483584718","0.0586431","0.0207694","0.00488692"
"86","1518483584735","0.114843","0.018326","0.00610865"
"87","1518483584757","0.0818559","-0.013439","0.0122173"
"88","1518483584780","-0.00610865","-0.0354302","0.0366519"
"89","1518483584796","-0.06353","-0.031765","0.0513127"
"90","1518483584814","-0.0354302","-0.00610865","0.0476475"
"91","1518483584835","0.0207694","0.0146608","0.0378736"
"92","1518483584856","0.0354302","-0.00488692","0.0415388"
"93","1518483584877","0.018326","-0.0305433","0.0427606"
"94","1518483584896","0.0158825","-0.0109956","0.0329867"
"95","1518483584915","0.0171042","-0.013439","0.00733038"
"96","1518483584937","0.0329867","-0.00733038","0.013439"
"97","1518483584958","0.0647517","-0.00122173","0.0256563"
"98","1518483584977","0.0855211","-0.0109956","0.0244346"
"99","1518483584997","0.0513127","0","0.0244346"
"100","1518483585018","-0.00610865","-0.00977384","0.013439"
"101","1518483585037","-0.0403171","-0.0427606","0.00366519"
"102","1518483585057","-0.045204","-0.0659734","0.00366519"
"103","1518483585078","0.0378736","-0.0549779","-0.00733038"
"104","1518483585097","0.0403171","-0.0781908","-0.00122173"
"105","1518483585117","0.0268781","-0.12706","0.0146608"
"106","1518483585138","0.013439","-0.146608","0.0109956"
"107","1518483585157","0.0158825","-0.152716","0.00244346"
"108","1518483585177","0.0439823","-0.12706","-0.00122173"
"109","1518483585198","0.0745256","-0.0781908","0.0109956"
"110","1518483585217","0.0916298","-0.0561996","0.0280998"
"111","1518483585237","0.112399","-0.0537561","0.0415388"
"112","1518483585262","0.116064","-0.0598648","0.0476475"
"113","1518483585291","0.136834","-0.0745256","0.0342085"
"114","1518483585310","0.135612","-0.125838","0.00610865"
"115","1518483585327","0.120951","-0.147829","0.00855211"
"116","1518483585341","0.0965167","-0.179594","0.0232129"
"117","1518483585359","0.0830777","-0.207694","0.0415388"
"118","1518483585391","0.0720821","-0.230907","0.0354302"
"119","1518483585408","0.0549779","-0.222355","0.0158825"
"120","1518483585424","0.0488692","-0.229685","-0.018326"
"121","1518483585441","0.0195477","-0.340863","-0.0696386"
"122","1518483585458","0","-0.50091","-0.0867429"
"123","1518483585491","0.0293215","-0.439823","-0.0561996"
"124","1518483585508","0.0476475","-0.268781","-0.0171042"
"125","1518483585524","0.0329867","-0.114843","-0.00244346"
"126","1518483585535","-0.0293215","-0.0623083","0.00488692"
"127","1518483585557","-0.105069","-0.0561996","-0.00122173"
"128","1518483585576","-0.122173","-0.0855211","-0.0256563"
"129","1518483585597","-0.0549779","-0.0940732","-0.0305433"
"130","1518483585623","0.00122173","-0.111177","-0.0195477"
"131","1518483585639","0.0256563","-0.130725","0.00122173"
"132","1518483585657","-0.0109956","-0.133169","0.0158825"
"133","1518483585677","-0.111177","-0.151495","0.0195477"
"134","1518483585697","-0.0855211","-0.105069","0.00977384"
"135","1518483585717","-0.0378736","-0.0708604","-0.0171042"
"136","1518483585738","-0.0329867","-0.0476475","-0.0415388"
"137","1518483585757","-0.122173","-0.045204","-0.0415388"
"138","1518483585777","-0.174707","-0.0488692","-0.0219911"
"139","1518483585797","-0.117286","-0.0574213","-0.0122173"
"140","1518483585817","-0.031765","-0.0268781","-0.0122173"
"141","1518483585837","0.018326","0.013439","0.00610865"
"142","1518483585858","0.0293215","0.0146608","0.0232129"
"143","1518483585877","-0.00366519","0.0354302","0.0403171"
"144","1518483585897","0.00366519","0.0476475","0.0342085"
"145","1518483585919","0.0806342","0.0561996","0.031765"
"146","1518483585939","0.153938","0.0598648","0.0280998"
"147","1518483585958","0.111177","0.0794125","0.0293215"
"148","1518483585979","-0.0464258","0.0977384","0.031765"
"149","1518483585998","-0.0806342","0.0659734","0.00366519"
"150","1518483586018","-0.0158825","0.018326","-0.013439"
"151","1518483586063","0.0598648","-0.00244346","-0.0390954"
"152","1518483586063","0.00366519","0.0109956","-0.0207694"
"153","1518483586132","-0.0684169","0.018326","0.00122173"
"154","1518483586132","-0.0696386","0.0439823","0.00488692"
"155","1518483586132","-0.045204","0.0904081","-0.00977384"
"156","1518483586138","-0.0525344","0.102625","-0.00733038"
"157","1518483586157","-0.0684169","0.0806342","-0.00122173"
"158","1518483586177","-0.0598648","0.0574213","-0.0195477"
"159","1518483586196","-0.0305433","0.0733038","-0.0268781"
"160","1518483586216","-0.0305433","0.095295","-0.031765"
"161","1518483586235","-0.0867429","0.161268","-0.0109956"
